communication_id,site_id,visitor_id,date_time_communications,visitor_session_id,date_time_sessions,campaign_id,row_n
2056231,16649,1311935382,2018-04-01 00:21:07,2021383539,2018-04-01 00:18:21,116083,1
2056235,16649,1311935382,2018-04-01 00:21:49,2021383539,2018-04-01 00:18:21,116083,2
457537963,16649,1310647296,2018-04-01 10:00:28,2022247367,2018-04-01 09:44:57,116083,1
456995966,16649,1310647296,2018-04-01 10:16:50,2022247367,2018-04-01 09:44:57,116083,2
457913565,30374,1315411842,2018-04-02 07:26:06,2026650737,2018-04-02 07:22:43,117767,1
2061609,16649,848021975,2018-04-02 09:20:20,2027105873,2018-04-02 09:15:08,116083,1
458670105,30374,1225592954,2018-04-02 18:38:03,2030992565,2018-04-02 18:37:12,116085,1
2067161,16649,1318710746,2018-04-02 22:09:49,2032035085,2018-04-02 22:06:33,116083,1
2067481,30374,1318950710,2018-04-02 23:56:24,2032400857,2018-04-02 23:50:19,116085,1
459023002,16649,1323298170,2018-04-04 09:05:05,2039340703,2018-04-04 08:20:45,44843,1
459665697,16649,1323298170,2018-04-04 09:21:47,2039340703,2018-04-04 08:20:45,44843,2
2079051,16649,1325560636,2018-04-04 18:11:59,2043066145,2018-04-04 18:01:59,116083,1
459728334,16649,1325805888,2018-04-04 19:20:22,2043455825,2018-04-04 19:17:45,116083,1
2083191,30374,1328012720,2018-04-05 12:52:27,2046981695,2018-04-05 12:49:51,116085,1
2083197,30374,1328012720,2018-04-05 12:53:23,2046981695,2018-04-05 12:49:51,116085,2
460185262,16649,1320493028,2018-04-05 13:52:17,2047368997,2018-04-05 13:50:12,116083,1
2084037,30374,1328492094,2018-04-05 14:52:35,2047764707,2018-04-05 14:51:21,113379,1
460453730,16649,615231236,2018-04-05 17:35:16,2048740059,2018-04-05 17:31:37,116083,1
2086624,16649,1329874720,2018-04-05 22:05:46,2049969305,2018-04-05 21:53:30,116083,1
461261187,30374,1329775718,2018-04-05 22:40:24,2049815771,2018-04-05 21:17:23,113379,1
461436460,16649,1330499539,2018-04-06 11:01:51,2050995156,2018-04-06 10:43:25,116083,1
2092162,16649,658040990,2018-04-07 16:48:44,2052277712,2018-04-06 16:53:02,-1,1
2092238,16649,1235856228,2018-04-07 17:09:21,2054740380,2018-04-07 16:32:30,116083,1
2092428,16649,1279156408,2018-04-07 18:21:16,2054991378,2018-04-07 18:19:41,116083,1
